,brand,model,full_title,engine_displacement_cm3,power_hp,ad_description,price_eur,mileage_km,fuel_type,production_year
25,Toyota,C-HR,Toyota C-HR 1.8 HSD 122 CP 4x2 CVT C-ult Style bi-tone,1798.0,122.0,"Toyota CHR, 1,8 Hybrid 122 CP, Biton, Garantie, Rate,TVA deducibili!",20999.0,82821.0,Hibrid,2019.0
26,BMW,Seria 7,BMW Seria 7 740d,,,,10000.0,182000.0,Diesel,2010.0
27,Ford,EcoSport,Ford EcoSport,999.0,125.0,GARANȚIE 2 ANI inclusă în preț – Posibilitate CREDIT/LEASING,9950.0,124538.0,Benzina,2019.0
28,Porsche,911,Porsche 911,2981.0,480.0,PORSCHE 911 Carrera 4 GTS COUPE 2023 / 47.100 KM,149000.01,47100.0,Benzina,2023.0
29,Audi,Q8,Audi Q8 3.0 50 TDI quattro Tiptronic MHEV,2967.0,285.0,50TDI Sline/ NightVi/ HUD/ SoftC/ Napa/ ACC/ Dir4x/ B&O/ 4Clim TVA D,56980.11,125000.0,Diesel,2019.0
30,Mercedes-Benz,CLS,Mercedes-Benz CLS 350 CDI 4Matic 7G-TRONIC,2987.0,265.0,masina este full,21500.0,147000.0,Diesel,2017.0
31,Fiat,500X,Fiat 500X 1.3 FireFly Turbo DCT 4x2 S&S Yacht Club Capri,1332.0,150.0,Yacht Club Capri BiXenon Model Rar si Deosebit Automat Revizie Garanti,23582.9,33871.0,Benzina,2021.0
32,BMW,Seria 7,BMW Seria 7 740d,,,,10000.0,182000.0,Diesel,2010.0
33,Ford,EcoSport,Ford EcoSport,999.0,125.0,GARANȚIE 2 ANI inclusă în preț – Posibilitate CREDIT/LEASING,9950.0,124538.0,Benzina,2019.0
34,Porsche,911,Porsche 911,2981.0,480.0,PORSCHE 911 Carrera 4 GTS COUPE 2023 / 47.100 KM,149000.01,47100.0,Benzina,2023.0
35,Audi,Q8,Audi Q8 3.0 50 TDI quattro Tiptronic MHEV,2967.0,285.0,50TDI Sline/ NightVi/ HUD/ SoftC/ Napa/ ACC/ Dir4x/ B&O/ 4Clim TVA D,56980.11,125000.0,Diesel,2019.0
36,Mercedes-Benz,CLS,Mercedes-Benz CLS 350 CDI 4Matic 7G-TRONIC,2987.0,265.0,masina este full,21500.0,147000.0,Diesel,2017.0
37,Fiat,500X,Fiat 500X 1.3 FireFly Turbo DCT 4x2 S&S Yacht Club Capri,1332.0,150.0,Yacht Club Capri BiXenon Model Rar si Deosebit Automat Revizie Garanti,23582.9,33871.0,Benzina,2021.0
38,Mercedes-Benz,GLE,Mercedes-Benz GLE 300 d 4MATIC,1950.0,245.0,Mercedes GLE 300d 4Matic,59178.15,91100.0,Diesel,2020.0
39,Skoda,Superb,Skoda Superb Combi 2.0 TDI DSG 4X4 Laurin & Klement,1968.0,190.0,Finantare - Rate fixe fara avans!,15490.0,220000.0,Diesel,2016.0
40,Volkswagen,Golf,Volkswagen Golf 1.6 TDI (BlueMotion Technology) Comfortline,1598.0,115.0,Garantie!an 2020/09 far LED TVA deductibil posib Rate/Credit/Leasing,9499.71,184000.0,Diesel,2020.0
41,BMW,Seria 8,BMW Seria 8 840d xDrive Gran Coupe,,,,51412.9,121000.0,Diesel,2020.0
42,BMW,Seria 5,BMW Seria 5 520d xDrive Touring Aut. Sport Line,1995.0,190.0,Xdrive Laser ACC Panoramic Headup Display Lumini Ambientale Garantie,32052.9,158491.0,Diesel,2022.0
43,Audi,RS6,Audi RS6,3996.0,605.0,AUDI RS6 Performance,53227.9,115888.0,Benzina,2017.0
44,Opel,Vivaro,Opel Vivaro,1995.0,114.0,Opel Vivaro 9 Locuri Aer Conditionat Geamri si oglinzi electrice,12485.0,200000.0,Diesel,2012.0
45,BMW,Seria 3,BMW Seria 3,1998.0,163.0,Inm. RO/ Plug-in/ Panoramica/ Scaune incalzite / Piele / LED / 2023,23990.0,177000.0,Hibrid Plug-In,2022.0
46,Renault,Megane,Renault Megane 1.5 dCi Eco2 Expression,1461.0,110.0,Renault Megane 3 bose 2013,5450.0,268000.0,Diesel,2013.0
47,DS Automobiles,DS 7 Crossback,DS Automobiles DS 7 Crossback,1997.0,180.0,‼️TVA DEDUCTIBIL /Garantie 24 LUNI/ MOTOR NOU -40.000 KM !!!/2.0 180,22000.0,175000.0,Diesel,2019.0
48,BMW,X5,BMW X5 xDrive45e,2998.0,394.0,45e MSport ACC Camere360 Sus Pneumatica Ventilatie Volan Incalzit Pano,67747.9,81822.0,Hibrid Plug-In,2023.0
49,Ford,Mondeo,Ford Mondeo 2.0 HEV Vignale,1999.0,187.0,Vignale Hybrid Led Piele Camera Navi Scaune Electrice Garanite,18137.9,150858.0,Hibrid,2019.0
50,Fiat,Scudo,Fiat Scudo L2 (8-Si.),1560.0,90.0,"Al doilea proprietar,stare perfecta,consum mic ,ingrijita",4250.0,297000.0,Diesel,2010.0
51,BMW,X6 M,BMW X6 M Competition,4395.0,625.0,"frozen artic grey, 170k",88000.0,130000.0,Benzina,2021.0
52,Volkswagen,Golf,Volkswagen Golf 1.2 TSI Highline,1197.0,105.0,Stare foarte buna de functionare,5500.0,235105.0,Benzina,2010.0
53,BMW,X6,BMW X6 xDrive30d,2993.0,265.0,Distronic / Ventilatie / Webasto / 360° / Posibilitate Rate /,49598.0,149780.0,Diesel,2020.0
54,Mercedes-Benz,CLS,Mercedes-Benz CLS AMG 53 MHEV 4MATIC+ Aut,2999.0,435.0,53AMG Distronic Trapa Camere360 Carbon Webasto Ventilatie Burmester,60487.9,142869.0,Benzina,2021.0
55,Volvo,XC 60,Volvo XC 60 B4 D AWD Geartronic RDesign,,,,34969.0,85670.0,Diesel,2021.0
56,Land Rover,Range Rover Evoque,Land Rover Range Rover Evoque,1999.0,179.0,Land Rover Range Rover Evoque,38357.0,57628.0,Diesel,2020.0
57,Volvo,XC 60,Volvo XC 60 Recharge T8 Twin Engine eAWD R-Design,,,,31970.0,156145.0,Hibrid Plug-In,2020.0
58,Land Rover,Range Rover Velar,Land Rover Range Rover Velar 2.0 R-Dynamic HSE,,,,38962.0,104700.0,Diesel,2021.0
59,Opel,Zafira,Opel Zafira 1.8 Design Edition,1796.0,140.0,RATE/GARANTIE1.8benzina 140cp 7locuri clima senzori carlig,5000.0,150000.0,Benzina,2010.0
60,Audi,A4,Audi A4,1968.0,190.0,B9 2018,15800.0,196234.0,Diesel,2018.0
61,Toyota,C-HR,Toyota C-HR,1798.0,98.0,2017 1.8I E6 GARANTIE 12 LUNI Rate Avans 0 Doar cu Buletinul,16290.0,143000.0,Hibrid,2017.0
62,Volvo,XC 60,Volvo XC 60 D4 Inscription,1969.0,190.0,Garantie 1-3 Ani / Posibilitate Rate / Credit Auto / Istoric /,25997.0,157142.0,Diesel,2020.0
63,Audi,A7,Audi A7 50 TFSIe quattro S tronic,,,,42955.0,89600.0,Hibrid Plug-In,2021.0
64,Mitsubishi,ASX,Mitsubishi ASX 1.8 DI-D 4WD Intense,1798.0,150.0,GARANTIE 12 LUNI*RATE*4x4*Instyle*150Cp*Piele*Panorama*Navi*Xenon*Full,8250.0,181952.0,Diesel,2012.0
65,Audi,Q7,Audi Q7 3.0 TDI e-tron quattro tiptronic,,,,27970.0,218900.0,Hibrid Plug-In,2016.0
66,Toyota,C-HR,Toyota C-HR 2.0 Hybrid GR Sport Black Edition,1987.0,184.0,2.0i Hybrid GR sport edition Garantie/Rate Fixe/Livrare an 2022,22590.0,105000.0,Hibrid,2022.0
67,Mazda,CX-5,Mazda CX-5,,,,6950.0,308000.0,Diesel,2014.0
68,BMW,X3,BMW X3 xDrive30e Aut. Advantage,1998.0,292.0,30e Xdrive Led ACC Headup Display Ceasuri Digitale Panoramic Garantie,33262.9,134718.0,Hibrid Plug-In,2020.0
69,Mercedes-Benz,C,Mercedes-Benz C,,,,28777.0,141850.0,Hibrid Plug-In,2021.0
70,Renault,Clio,Renault Clio BLUE dCi 115 EDITION ONE,,,,9689.99,152554.0,Diesel,2020.0
71,BMW,Seria 5,BMW Seria 5 545e xDrive Aut. M Sport Edition,,,,39930.0,176770.0,Hibrid Plug-In,2021.0
72,Skoda,Octavia,Skoda Octavia 2.0 TDI DSG 4X4 Ambition,1968.0,149.0,Skoda Octavia SPECIALA 2.0 TDI 150CP DSG 4x4,13250.0,257000.0,Diesel,2018.0
73,Skoda,Superb,Skoda Superb,1395.0,218.0,Business Edition - istoric complet Skoda,22500.0,180000.0,Hibrid Plug-In,2022.0
74,Volvo,XC 90,Volvo XC 90 T8 eAWD R-Design,,,,43923.0,138150.0,Hibrid Plug-In,2020.0
75,Dacia,Duster,Dacia Duster,1461.0,107.0,2014 1.5D E5 GARANTIE 12 LUNI Rate Avans 0 Doar cu Buletinul,8290.0,213000.0,Diesel,2014.0
76,BMW,Seria 1,BMW Seria 1 118i Aut. M Sport,1499.0,136.0,M-Packet Virtual Cockpit Automatik 136 CP,22450.34,90000.0,Benzina,2022.0
77,Mercedes-Benz,C,Mercedes-Benz C 300 e 9G-TRONIC Exclusive,,,,29475.6,106000.0,Hibrid Plug-In,2021.0
78,BMW,Seria 5,BMW Seria 5 530e Aut. M Sport Edition,,,,36989.7,92800.0,Hibrid Plug-In,2021.0
79,Ford,Focus,Ford Focus 1.6 TDCI DPF Trend,1560.0,95.0,Ford Focus 3 Turnier 1.6 TDCi,2790.0,238000.0,Diesel,2011.0
80,BMW,Seria 5,BMW Seria 5 528i xDrive AT,,,,16950.0,171000.0,Benzina,2015.0
81,Volvo,S90,Volvo S90 D3 Geartronic Momentum,1969.0,150.0,Volvo S90 D3 - 150 cp 2018 - Geartronic - TVA DEDUCTIBIL,15900.0,228000.0,Diesel,2018.0
82,Peugeot,208,Peugeot 208 1.2 L PureTech STT Allure Pack,1199.0,100.0,Led/CarPlay/Cockpit/Camera/Lane Assist/Tva/Leasing - Rate FARA AVANS,10950.0,129158.0,Benzina,2020.0
83,BMW,Seria 3,BMW Seria 3 320i Cabrio Aut.,1995.0,170.0,Cabrio Xenon Hardtop Automat M Sport Piele Scaune Incalzite,15717.9,117000.0,Benzina,2009.0
84,Nissan,Qashqai,Nissan Qashqai,1461.0,110.0,2011 1.5D E5 GARANTIE 12 LUNI Rate Avans 0 Doar cu Buletinul,7490.0,232000.0,Diesel,2011.0
85,Mercedes-Benz,CLA,Mercedes-Benz CLA 200 d Coupe Aut.,1950.0,149.0,Mercedes-Benz CLA 200 d Coupe,35090.0,30950.0,Diesel,2022.0
86,BMW,Seria 4,BMW Seria 4 420d xDrive Gran Coupe M Sport,1995.0,190.0,BMW Baureihe 4 Gran Coupe 420 d xDrive M Sport IN STOC LA SIBIU,50738.65,17700.0,Diesel,2024.0
87,BMW,M2,BMW M2 M235 xDrive AT,1998.0,300.0,BMW M235 xDrive Gran Coupe- STOC,50899.99,12000.0,Benzina,2024.0
88,Volvo,XC 40,Volvo XC 40 D3 Momentum,1969.0,149.0,TVA DEDUCTIBIL/Unic Proprietar/Ceasuri Digitale /Garantie 12 Luni,18699.99,180000.0,Diesel,2020.0
89,Mercedes-Benz,GLC,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC,2143.0,170.0,GARANȚIE 2 ANI inclusă în preț – Posibilitate CREDIT/LEASING,21450.0,197186.0,Diesel,2017.0
90,BMW,Seria 5,BMW Seria 5,1995.0,197.0,BMW 520d(G60) xDrive / M-Sport PRO / Carbon pack / Individual Edition,72500.01,58900.0,Diesel,2024.0
91,Mercedes-Benz,A,Mercedes-Benz A 200 Style,1332.0,163.0,BiXenon Ceasuri Digitale Scaune Incalzite Piele+Textil Revizie la zi,18990.0,49900.0,Benzina,2019.0
92,Audi,A7,Audi A7 3.0 TDI Quattro S-Tronic,2967.0,272.0,Facelift - Posibilitate Rate Avans 0 - Garantie 12 Luni - IMPECABILA,19990.0,210000.0,Diesel,2015.0
93,Mercedes-Benz,GLC,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC AMG Line,1950.0,194.0,TVA DEDUCTIBIL/Garantie 24 luni/2.0 194 CP/Ceasuri Digitale/Panoramic,35000.0,169000.0,Diesel,2019.0
94,BMW,X5,BMW X5 xDrive40i xLine,2998.0,340.0,‼️Posibilitate RATE/GARANTIE 12 LUNI/X-DRIVE/97.000 KM,38900.0,97000.0,Benzina,2019.0
95,BMW,Seria 7,BMW Seria 7 750d xDrive,2993.0,400.0,BMW Seria 7 750d xDrive .,55990.0,99750.0,Diesel,2020.0
96,BMW,Seria 5,BMW Seria 5,1995.0,197.0,BMW 520d(G60) xDrive / M-Sport PRO / Carbon pack / Individual Edition,72500.01,58900.0,Diesel,2024.0
97,Mercedes-Benz,A,Mercedes-Benz A 200 Style,1332.0,163.0,BiXenon Ceasuri Digitale Scaune Incalzite Piele+Textil Revizie la zi,18990.0,49900.0,Benzina,2019.0
98,Audi,A7,Audi A7 3.0 TDI Quattro S-Tronic,2967.0,272.0,Facelift - Posibilitate Rate Avans 0 - Garantie 12 Luni - IMPECABILA,19990.0,210000.0,Diesel,2015.0
99,Mercedes-Benz,GLC,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC AMG Line,1950.0,194.0,TVA DEDUCTIBIL/Garantie 24 luni/2.0 194 CP/Ceasuri Digitale/Panoramic,35000.0,169000.0,Diesel,2019.0
100,BMW,X5,BMW X5 xDrive40i xLine,2998.0,340.0,‼️Posibilitate RATE/GARANTIE 12 LUNI/X-DRIVE/97.000 KM,38900.0,97000.0,Benzina,2019.0
101,BMW,Seria 7,BMW Seria 7 750d xDrive,2993.0,400.0,BMW Seria 7 750d xDrive .,55990.0,99750.0,Diesel,2020.0
102,Volvo,XC 60,Volvo XC 60 B4 MHEV AWD R-Design,1969.0,197.0,Volvo XC60 B4 AWD R-Design / Memorii / LED / Camera / 21'',35490.0,126188.0,Diesel,2022.0
103,Mercedes-Benz,C,Mercedes-Benz C 350 CDI 4-Matic BlueEfficiency Aut.,2987.0,231.0,Mercedes C350 w204 4 Matic,7800.0,308042.0,Diesel,2010.0
104,Dacia,Duster,Dacia Duster dCi 110 FAP 4x4 Prestige,1461.0,110.0,GARANTIE 12 LUNI*DISTRIBUTIE*RATE*1.5DCI*4x4*110Cp*Aer conditionat*,7750.0,185021.0,Diesel,2012.0
105,Porsche,Boxster,Porsche Boxster 718 PDK,1988.0,300.0,Porsche 718 Spyder,95000.0,63.0,Benzina,2022.0
106,Audi,A4,Audi A4 35 TDI S tronic MHEV S Line,,,,23994.3,186300.0,Diesel,2021.0
107,Nissan,X-Trail,Nissan X-Trail,1598.0,130.0,2016 1.6D E6 GARANTIE 12 LUNI Rate Avans 0 Doar cu Buletinul,12890.0,205000.0,Diesel,2016.0
108,Renault,Kadjar,Renault Kadjar Energy dCi 110 EDC Experience,1461.0,110.0,GARANTIE 12 luni#Automat,10800.0,215000.0,Diesel,2016.0
109,Mercedes-Benz,GLC,Mercedes-Benz GLC,1950.0,245.0,Mercedes Glc Mercedes-benz 300d 4matic,45654.51,50698.0,Diesel,2020.0
110,Renault,Kadjar,Renault Kadjar,1461.0,110.0,1.5DCI/LED/Piele/Navi/Camera/Jante R19,11890.0,139310.0,Diesel,2017.0
111,Opel,Astra,Opel Astra,,,,8990.0,83500.0,Diesel,2021.0
112,Opel,Astra,Opel Astra,,,,9490.0,72200.0,Diesel,2021.0
113,Audi,A6,Audi A6 Avant 2.0 TDI Ultra S tronic,1968.0,190.0,GARANTIE 12 luni#Automat#Istoric la zi la AUDI,13200.0,246000.0,Diesel,2015.0
114,BMW,Seria 1,BMW Seria 1 118i Aut. M Sport,1499.0,136.0,Virtual Cockpit MPacket Automatik,23449.8,79000.0,Benzina,2022.0
115,BMW,Seria 3,BMW Seria 3 320d xDrive AT M Sport,1995.0,190.0,BMW 320D xDrive M Sport / Trapa / Incalzire volan / Camera,28900.0,151000.0,Diesel,2022.0
116,Mercedes-Benz,A,Mercedes-Benz A 180 d 7G-DCT AMG Line,1461.0,116.0,AMG/CarPlay/Android/Led/Scaune incalzite/Tva/Leasing - Rate FARA AVANS,17990.0,229200.0,Diesel,2020.0
117,Land Rover,Range Rover Sport,Land Rover Range Rover Sport 3.0 TDV6,2993.0,211.0,"Proprietar,Inmatriculat,Stare buna",10000.0,290000.0,Diesel,2011.0
118,BMW,X3,BMW X3 xDrive20d Aut. xLine,1995.0,190.0,POSIBILITATE RATE/Garantie 24 Luni/ DISTRONIC PLUS/Import Germania,32000.0,138000.0,Diesel,2019.0
119,BMW,X4,BMW X4 xDrive30d AT MHEV,2993.0,286.0,"Primul Propietar,M-Paket 286CP Hybrid,Garantie Bmw,Finantare!",49416.4,100000.0,Diesel,2022.0
120,Volkswagen,Golf,Volkswagen Golf 1.4 TSI BlueMotion Technology DSG Highline,1395.0,150.0,POSIBILITATE RATE/GARANTIE 12 LUNI/Benzina/Automata/Import Germania,13500.0,184000.0,Benzina,2016.0
121,Kia,Sportage,Kia Sportage 1.6 T-GDI PHEV 6AT 4x4 Style,1598.0,265.0,kia sportage ver-1-6-t--gdi-phev-6at-4x4-style,32450.0,92752.0,Hibrid Plug-In,2023.0
122,Renault,Arkana,Renault Arkana E-TECH 145 Evolution,1598.0,145.0,renault arkana ver-e--tech-145-evolution,23250.0,74985.0,Hibrid,2023.0
123,Volkswagen,Passat,Volkswagen Passat Variant 2.0 TDI BlueMotion Technology Comfortline,1968.0,170.0,Navi Rate Garantie,8350.0,193000.0,Diesel,2014.0
124,Jaguar,F-Pace,Jaguar F-Pace 20d AWD R-Sport,1999.0,180.0,Jaguar F-PACE 20d R-Sport / TVA deductibil,15500.0,239000.0,Diesel,2017.0
125,BMW,X1,BMW X1 sDrive18d Aut.,1995.0,143.0,sDrive 18d/Nr roșii 3 luni /Garantie 12 LUNI /Revizie Efectuată/RATE,8790.0,232842.0,Diesel,2012.0
126,Toyota,Aygo,Toyota Aygo,998.0,69.0,GARANTIE 24 LUNI*RATE*Transport*Benzina*Automata*Led*TVA DEDUCTIBIL,8434.91,156436.0,Benzina,2018.0
127,Porsche,Cayman,Porsche Cayman 718 PDK,1988.0,300.0,Porsche 718 Cayman,74999.43,55.0,Benzina,2022.0
128,Mercedes-Benz,S,Mercedes-Benz S 400 d 4MATIC Aut,2925.0,330.0,Primul proprietar,94985.0,26500.0,Diesel,2022.0
129,BMW,Seria 5,BMW Seria 5 530e AT PHEV,1998.0,252.0,BMW seria 5 530e TVA deductibil PHEV Luxury Line,32500.0,106000.0,Hibrid Plug-In,2020.0
130,Volkswagen,Touareg,Volkswagen Touareg 3.0 V6 TDI BMT,2967.0,204.0,Autoturism VW TOUAREG in stare perfecta,24500.0,68700.0,Diesel,2013.0
131,Mercedes-Benz,C,Mercedes-Benz C 180 9G-TRONIC Avantgarde,1595.0,156.0,Mercedes C Class 9G tronic,19950.0,184000.0,Benzina,2017.0
132,Mercedes-Benz,Vito,Mercedes-Benz Vito,2143.0,163.0,Garantie 24 luni / TVA deductibil / Finantare PJ BT Leasing,16987.19,163069.0,Diesel,2018.0
133,Peugeot,508,Peugeot 508 1.5 BlueHDI STT Allure,1499.0,130.0,508 - Posibilitate Rate Avans 0 - Garantie 12 Luni - IMPECABILA,16990.0,60000.0,Diesel,2021.0
134,Nissan,LEAF,Nissan LEAF 62 kWh e+ Tekna,,,,15717.9,101624.0,Electric,2019.0
135,Mini,Countryman,Mini Countryman Cooper S ALL4 AT,,,,34469.74,9050.0,Benzina,2023.0
136,Mercedes-Benz,GLC Coupe,Mercedes-Benz GLC Coupe 300 e 4Matic 9G-TRONIC Edition AMG Line,1999.0,313.0,Pachet AMG/ Trapa / Faruri Full LED ILS/ Ventilatie,45989.68,99900.0,Hibrid Plug-In,2021.0
137,Peugeot,4008,Peugeot 4008 1.8 HDI FAP STT Allure,1798.0,150.0,4x4 Full RATE Garantie Revizie Finantare,8150.0,181652.0,Diesel,2012.0
138,Mercedes-Benz,Viano,Mercedes-Benz Viano 3.0 CDI DPF lang Automatik Avantgarde EDITION 125,2987.0,224.0,Avantgarde - Edition 125 !!,18990.0,303665.0,Diesel,2011.0
139,Mercedes-Benz,GLE,Mercedes-Benz GLE 350 de 4Matic 9G-TRONIC AMG Line,1950.0,319.0,Pachet AMG/ Suspensie pneumatica/Faruri ILS LED/Plafon Panoramic/360,59990.59,104900.0,Hibrid Plug-In,2022.0
140,Ford,Focus,Ford Focus 1.5 EcoBlue Start-Stopp-System COOL&CONNECT,1499.0,120.0,Ford Focus 1.5 Dci An 2020 Tva Deductibil,9425.9,199990.0,Diesel,2019.0
141,Volkswagen,Passat,Volkswagen Passat 1.4 TSI ACT (BlueMotion Technology) DSG Highline,1395.0,150.0,Vw Passat 1.4Benzina 150Cp Cutie Automata Tva Deductibil,15705.8,184900.0,Benzina,2018.0
142,Land Rover,Range Rover Velar,Land Rover Range Rover Velar R-Dynamic 2.0 D200 MHEV SE,1997.0,204.0,Range Rover Velar 2.0D I4 204 CP 4WD Auto MHEV Dynamic SE,67760.0,20000.0,Diesel,2023.0
143,Land Rover,Range Rover Evoque,Land Rover Range Rover Evoque 2.0 D180 R-Dynamic HSE,,,,25490.0,179835.0,Diesel,2016.0
144,Mazda,CX-60,Mazda CX-60 e-Skyactiv PHEV Homura,2488.0,327.0,PHEV AWD Homura Led Ventilatie ACC Ceasuri Digitale Piele Garantie,41127.9,11077.0,Hibrid Plug-In,2023.0
145,BMW,Seria 5,BMW Seria 5 520d xDrive AT MHEV,1995.0,197.0,BMW 520d xDrive G61 Touring,58499.87,12423.0,Diesel,2024.0
146,Volkswagen,Touareg,Volkswagen Touareg 2.5 TDI R5 Aut.,2460.0,174.0,"VW Touareg 2007, 2.5L Diesel, Automatic 4x4, 266.000km, stare f. buna",6300.0,266500.0,Diesel,2007.0
147,Volvo,XC 60,Volvo XC 60,,,,19999.0,289800.0,Diesel,2019.0
148,Seat,Alhambra,Seat Alhambra 1.4 TSI Start & Stop Style Plus,1395.0,150.0,Benzina- Euro 5 - Autohold - Climatronic - 6 Trepte,4990.0,198000.0,Benzina,2011.0
149,Honda,CR-V,Honda CR-V,,,,11999.0,121000.0,Diesel,2014.0
150,BMW,i8,BMW i8 Standard,1499.0,362.0,Vand Bmw I8 impecabil,59900.0,90000.0,Hibrid,2017.0
151,BMW,Seria 3,BMW Seria 3 320d xDrive AT,1995.0,190.0,"BMW 320 xd G21,190 cp,Luxury Line",21000.0,141000.0,Diesel,2020.0
152,Volvo,XC 90,Volvo XC 90 B5 D AWD Geartronic RDesign,1969.0,235.0,Garantie 12 luni/Km reali/R Design/Mild Hybrid/AWD/Panoramic/250 Cai,32499.0,249000.0,Diesel,2021.0
